"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 2.17345654370076673e+01, 2.03406226348058430e-04,-2.50148314954333983e+00, 2.82596881677427758e+00, 2.24736484333185622e+01, 4.92461280169831594e-01, 3.20999150821702005e-05, 2.61541780462459720e-06
 2.17819981572121364e+01, 2.03452494007896483e-04,-2.61778347123976785e+00, 3.05212717346928919e+00, 2.23345526220780215e+01, 4.92462162950334681e-01, 3.35853951648498351e-05, 2.73683222047906594e-06
 2.18294308774166055e+01, 2.03500050008907402e-04,-2.73144092712427744e+00, 3.23703103889268462e+00, 2.21858449333126053e+01, 4.92463018341987191e-01, 3.52088840949420364e-05, 2.86952719522433740e-06
 2.18768635976210746e+01, 2.03548850614331342e-04,-2.84261042526134622e+00, 3.39165987758725063e+00, 2.20288281665246686e+01, 4.92463843559516112e-01, 3.69756427463310505e-05, 3.01393645683843107e-06
 2.19242963178255437e+01, 2.03598861429937430e-04,-2.95140055441283078e+00, 3.52368458016501940e+00, 2.18647785388649076e+01, 4.92464635705312070e-01, 3.88908863823115317e-05, 3.17048994011740671e-06
 2.19717290380300128e+01, 2.03650053708208227e-04,-3.05790317217060981e+00, 3.63849334799586810e+00, 2.16948116348056956e+01, 4.92465391772423378e-01, 4.09597021559905623e-05, 3.33960740224838916e-06
 2.20191617582344819e+01, 2.03702402443822593e-04,-3.16222556068030514e+00, 3.73983656253398955e+00, 2.15197555387159412e+01, 4.92466108646336664e-01, 4.31871793476221061e-05, 3.52170917203823201e-06
 2.20904904492568761e+01, 2.03783255124465116e-04,-3.31526826255683194e+00, 3.87240481214634880e+00, 2.12481999767819403e+01, 4.92467105773828406e-01, 4.68467632337698234e-05, 3.82092422003014029e-06
 2.21618191402792704e+01, 2.03866617994669113e-04,-3.46407776634819431e+00, 3.98598981415739306e+00, 2.09679462178247817e+01, 4.92467995548979520e-01, 5.08939225852190385e-05, 4.15188112023000600e-06
 2.22331478313016646e+01, 2.03952448826918504e-04,-3.60905605811050156e+00, 4.08399531551369499e+00, 2.06801110629455067e+01, 4.92468766018601067e-01, 5.53458740221531747e-05, 4.51600527738511626e-06
 2.23044765223240589e+01, 2.04040717226190526e-04,-3.75054848367321281e+00, 4.16858415036555119e+00, 2.03857070295461007e+01, 4.92469404687238710e-01, 6.02200048755128990e-05, 4.91473726061056908e-06
 2.23758052133464531e+01, 2.04131400648357373e-04,-3.88884667563326936e+00, 4.24121520884938086e+00, 2.00856793752065421e+01, 4.92469898517469029e-01, 6.55336514190108123e-05, 5.34951484593664368e-06
 2.24471339043688474e+01, 2.04224482431665527e-04,-4.02420412529554206e+00, 4.30291774682381067e+00, 1.97808766217421734e+01, 4.92470233928874124e-01, 7.13042691096641389e-05, 5.82178722017002039e-06
