"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 2.21447911359787817e+01, 1.74987153004112916e-04,-3.41556720303301020e+00, 3.83059085347644812e+00, 2.09306502811695054e+01, 4.92481102355101008e-01, 4.56390715452387018e-05, 3.72254579948830576e-06
 2.22036828280906420e+01, 1.75052550298125567e-04,-3.53763810962805358e+00, 3.91864695871044244e+00, 2.07024269302227673e+01, 4.92484984316013119e-01, 4.90738358609295596e-05, 4.00336226420534110e-06
 2.22625745202025023e+01, 1.75119587188154790e-04,-3.65706511373452425e+00, 3.99683598315217248e+00, 2.04693056640767814e+01, 4.92488779717528191e-01, 5.27872210714341568e-05, 4.30700469861268806e-06
 2.23214662123143626e+01, 1.75188245949850876e-04,-3.77404071893646265e+00, 4.06626255443260654e+00, 2.02318377257779538e+01, 4.92492481400315207e-01, 5.67889491159342686e-05, 4.63427823803466808e-06
 2.24099743480088627e+01, 1.75294453799309700e-04,-3.94560964710354867e+00, 4.15579244271356885e+00, 1.98678503181503636e+01, 4.92497852037342421e-01, 6.33669055793038220e-05, 5.17236043845560682e-06
 2.24984824837033628e+01, 1.75404260605444332e-04,-4.11254607047124754e+00, 4.22911941541044900e+00, 1.94966594561956335e+01, 4.92502967965808558e-01, 7.06515180268742568e-05, 5.76841037500135161e-06
 2.25869906193978629e+01, 1.75517643628289967e-04,-4.27527554327334336e+00, 4.28757027997741780e+00, 1.91196289851924632e+01, 4.92507801666529299e-01, 7.86762859500949051e-05, 6.42521020977159449e-06
 2.26754987550923630e+01, 1.75634586092292705e-04,-4.43413900058658239e+00, 4.33223520554370278e+00, 1.87380367931767999e+01, 4.92512324321733974e-01, 8.74749212461042462e-05, 7.14556303287740625e-06
 2.27640068907868631e+01, 1.75755074598919910e-04,-4.58940627005041613e+00, 4.36408285393904283e+00, 1.83530753188746338e+01, 4.92516505807241711e-01, 9.70813586425811560e-05, 7.93229387185072406e-06
 2.28525150264813632e+01, 1.75879097939963120e-04,-4.74128957900124792e+00, 4.38400666611169676e+00, 1.79658427839086556e+01, 4.92520314684817329e-01, 1.07529731550870194e-04, 8.78824783096146970e-06
