environment.time,calcium_concentration.Cai,calcium_concentration.CaJSR,calcium_concentration.Cass,calcium_fluxes.J_rel,calcium_fluxes.J_up,membrane.V,non_inactivating_steady_state_potassium_current.i_Kss,sodium_calcium_exchange_current.i_NaCa,sodium_concentration.Nai,,,,39.56253578,0,0.402386637,0.282421675
2.15E+01,1.20E-01,7.78E+02,1.30E-01,2.07E-04,1.69E-02,2.18E+01,4.07E+00,3.01E-01,1.70E+04,,,,124.8373167,85.27478095,0.223288342,0.10332338
2.15E+01,1.20E-01,7.78E+02,1.34E-01,2.66E-04,1.69E-02,2.26E+01,4.10E+00,3.05E-01,1.70E+04,,,,128.0942247,88.53168894,0.221265181,0.101300219
2.16E+01,1.20E-01,7.78E+02,1.40E-01,3.78E-04,1.69E-02,2.36E+01,4.15E+00,3.10E-01,1.70E+04,,,,131.3511327,91.78859693,0.219316088,0.099351126
2.16E+01,1.20E-01,7.78E+02,1.47E-01,5.19E-04,1.69E-02,2.46E+01,4.18E+00,3.14E-01,1.70E+04,,,,134.6080407,95.04550492,0.217433074,0.097468113
2.16E+01,1.20E-01,7.78E+02,1.57E-01,6.93E-04,1.69E-02,2.54E+01,4.22E+00,3.19E-01,1.70E+04,,,,137.9129463,98.35041048,0.215582907,0.095617945
2.16E+01,1.20E-01,7.78E+02,1.69E-01,9.03E-04,1.69E-02,2.62E+01,4.25E+00,3.22E-01,1.70E+04,,,,141.2178518,101.655316,0.213788993,0.093824031
2.16E+01,1.20E-01,7.78E+02,1.84E-01,1.15E-03,1.69E-02,2.68E+01,4.28E+00,3.26E-01,1.70E+04,,,,144.5227574,104.9602216,0.21204734,0.092082378
2.16E+01,1.20E-01,7.78E+02,2.00E-01,1.44E-03,1.69E-02,2.74E+01,4.30E+00,3.28E-01,1.70E+04,,,,147.8276629,108.2651272,0.210352975,0.090388013
2.17E+01,1.20E-01,7.78E+02,2.19E-01,1.78E-03,1.69E-02,2.79E+01,4.32E+00,3.31E-01,1.70E+04,,,,151.1325685,111.5700327,0.208702445,0.088737483
2.17E+01,1.20E-01,7.78E+02,2.41E-01,2.16E-03,1.69E-02,2.84E+01,4.34E+00,3.33E-01,1.70E+04,,,,153.206701,113.6441652,0.207688429,0.087723467
2.17E+01,1.20E-01,7.78E+02,2.64E-01,2.59E-03,1.69E-02,2.87E+01,4.36E+00,3.35E-01,1.70E+04,,,,155.2808335,115.7182977,0.206690352,0.08672539
2.17E+01,1.20E-01,7.78E+02,3.09E-01,3.44E-03,1.69E-02,2.93E+01,4.38E+00,3.38E-01,1.70E+04,,,,156.6484167,117.0858809,0.206040495,0.086075533
2.18E+01,1.20E-01,7.78E+02,3.58E-01,4.46E-03,1.69E-02,2.97E+01,4.40E+00,3.40E-01,1.70E+04,,,,157.5872966,118.0247609,0.205598247,0.085633285
2.18E+01,1.20E-01,7.78E+02,4.09E-01,5.66E-03,1.69E-02,3.00E+01,4.41E+00,3.41E-01,1.70E+04,,,,158.5261766,118.9636408,0.205159067,0.085194105
2.18E+01,1.20E-01,7.78E+02,4.62E-01,7.05E-03,1.70E-02,3.01E+01,4.42E+00,3.42E-01,1.70E+04,,,,159.4650566,119.9025208,0.204722744,0.084757782
2.19E+01,1.20E-01,7.78E+02,5.17E-01,8.65E-03,1.70E-02,3.03E+01,4.43E+00,3.43E-01,1.70E+04,,,,160.4039365,120.8414008,0.204289434,0.084324472
2.19E+01,1.20E-01,7.78E+02,5.72E-01,1.05E-02,1.70E-02,3.03E+01,4.43E+00,3.43E-01,1.70E+04,,,,161.3428165,121.7802807,0.203859181,0.083894219
2.19E+01,1.20E-01,7.78E+02,6.28E-01,1.27E-02,1.70E-02,3.03E+01,4.43E+00,3.43E-01,1.70E+04,,,,161.9675589,122.4050231,0.203574422,0.08360946
2.19E+01,1.20E-01,7.78E+02,6.83E-01,1.52E-02,1.70E-02,3.02E+01,4.43E+00,3.43E-01,1.70E+04,,,,162.5923013,123.0297656,0.203290889,0.083325927
2.20E+01,1.20E-01,7.78E+02,7.37E-01,1.81E-02,1.70E-02,3.00E+01,4.43E+00,3.42E-01,1.70E+04,,,,163.2170437,123.654508,0.203008678,0.083043716
2.20E+01,1.20E-01,7.78E+02,7.93E-01,2.16E-02,1.71E-02,2.98E+01,4.42E+00,3.41E-01,1.70E+04,,,,163.8417862,124.2792504,0.202727638,0.082762676
2.20E+01,1.20E-01,7.78E+02,8.28E-01,2.42E-02,1.71E-02,2.97E+01,4.42E+00,3.40E-01,1.70E+04,,,,164.4665286,124.9039928,0.202447692,0.08248273
2.20E+01,1.20E-01,7.78E+02,8.49E-01,2.61E-02,1.71E-02,2.96E+01,4.41E+00,3.39E-01,1.70E+04,,,,164.8848359,125.3223001,0.202260953,0.082295991
2.21E+01,1.20E-01,7.78E+02,8.71E-01,2.82E-02,1.71E-02,2.94E+01,4.41E+00,3.39E-01,1.70E+04,,,,165.3031432,125.7406074,0.202074781,0.082109819
2.21E+01,1.20E-01,7.78E+02,8.95E-01,3.04E-02,1.71E-02,2.93E+01,4.41E+00,3.38E-01,1.70E+04,,,,165.7214505,126.1589147,0.201889086,0.081924124
2.21E+01,1.20E-01,7.78E+02,9.17E-01,3.29E-02,1.71E-02,2.92E+01,4.40E+00,3.37E-01,1.70E+04,,,,166.1397578,126.577222,0.201703944,0.081738982
2.21E+01,1.20E-01,7.78E+02,9.38E-01,3.56E-02,1.71E-02,2.90E+01,4.40E+00,3.37E-01,1.70E+04,,,,166.5580651,126.9955293,0.201519425,0.081554463
2.21E+01,1.20E-01,7.78E+02,9.60E-01,3.85E-02,1.71E-02,2.89E+01,4.39E+00,3.36E-01,1.70E+04,,,,166.8428737,127.2803379,0.201394091,0.081429129
2.21E+01,1.20E-01,7.78E+02,9.82E-01,4.17E-02,1.71E-02,2.87E+01,4.39E+00,3.35E-01,1.70E+04,,,,167.1276823,127.5651465,0.201268967,0.081304005
2.21E+01,1.20E-01,7.78E+02,1.01E+00,4.61E-02,1.71E-02,2.85E+01,4.38E+00,3.34E-01,1.70E+04,,,,167.4124908,127.849955,0.201144111,0.081179149
2.22E+01,1.20E-01,7.78E+02,1.04E+00,5.11E-02,1.72E-02,2.83E+01,4.37E+00,3.33E-01,1.70E+04,,,,167.6972994,128.1347636,0.201019503,0.081054541
2.22E+01,1.20E-01,7.78E+02,1.06E+00,5.66E-02,1.72E-02,2.81E+01,4.37E+00,3.32E-01,1.70E+04,,,,167.982108,128.4195722,0.200895087,0.080930125
2.22E+01,1.20E-01,7.78E+02,1.09E+00,6.29E-02,1.72E-02,2.79E+01,4.36E+00,3.31E-01,1.70E+04,,,,168.2669165,128.7043807,0.200770908,0.080805946
2.22E+01,1.20E-01,7.78E+02,1.11E+00,6.99E-02,1.72E-02,2.76E+01,4.35E+00,3.29E-01,1.70E+04,,,,168.5517251,128.9891893,0.200647031,0.080682069
2.22E+01,1.20E-01,7.78E+02,1.16E+00,8.34E-02,1.72E-02,2.72E+01,4.34E+00,3.27E-01,1.70E+04,,,,168.8365336,129.2739979,0.200523403,0.080558441
2.23E+01,1.21E-01,7.78E+02,1.20E+00,9.96E-02,1.73E-02,2.68E+01,4.32E+00,3.25E-01,1.70E+04,,,,169.1213422,129.5588064,0.200399949,0.080434987
2.23E+01,1.21E-01,7.78E+02,1.24E+00,1.19E-01,1.73E-02,2.63E+01,4.30E+00,3.23E-01,1.70E+04,,,,169.4061508,129.843615,0.200276725,0.080311763
2.23E+01,1.21E-01,7.78E+02,1.28E+00,1.43E-01,1.73E-02,2.59E+01,4.29E+00,3.21E-01,1.70E+04,,,,169.6909593,130.1284236,0.200153794,0.080188832
2.23E+01,1.21E-01,7.78E+02,1.32E+00,1.72E-01,1.73E-02,2.54E+01,4.27E+00,3.18E-01,1.70E+04,,,,169.9757679,130.4132321,0.200031096,0.080066134
2.24E+01,1.21E-01,7.78E+02,1.36E+00,2.06E-01,1.74E-02,2.49E+01,4.25E+00,3.16E-01,1.70E+04,,,,170.2605765,130.6980407,0.19990856,0.079943598
2.24E+01,1.21E-01,7.78E+02,1.40E+00,2.47E-01,1.74E-02,2.43E+01,4.23E+00,3.13E-01,1.70E+04,,,,170.545385,130.9828493,0.199786249,0.079821287
2.24E+01,1.21E-01,7.78E+02,1.44E+00,2.96E-01,1.74E-02,2.38E+01,4.21E+00,3.11E-01,1.70E+04,,,,170.8301936,131.2676578,0.199664248,0.079699286
2.25E+01,1.21E-01,7.78E+02,1.47E+00,3.55E-01,1.75E-02,2.32E+01,4.19E+00,3.08E-01,1.70E+04,,,,171.1150022,131.5524664,0.1995425,0.079577538
2.25E+01,1.21E-01,7.78E+02,1.51E+00,4.25E-01,1.75E-02,2.27E+01,4.17E+00,3.05E-01,1.70E+04,,,,171.3998107,131.837275,0.199420915,0.079455953
2.25E+01,1.21E-01,7.78E+02,1.54E+00,4.84E-01,1.75E-02,2.22E+01,4.16E+00,3.03E-01,1.70E+04,,,,171.5985813,132.0360455,0.199336174,0.079371212
2.25E+01,1.21E-01,7.78E+02,1.57E+00,5.51E-01,1.75E-02,2.18E+01,4.14E+00,3.01E-01,1.70E+04,,,,171.7973519,132.2348161,0.199251567,0.079286605
2.25E+01,1.21E-01,7.78E+02,1.60E+00,6.27E-01,1.76E-02,2.14E+01,4.12E+00,2.99E-01,1.70E+04,,,,171.9961225,132.4335867,0.199167084,0.079202122
2.26E+01,1.21E-01,7.78E+02,1.62E+00,6.88E-01,1.76E-02,2.10E+01,4.11E+00,2.97E-01,1.70E+04,,,,172.194893,132.6323573,0.199082713,0.079117751
2.26E+01,1.21E-01,7.78E+02,1.64E+00,7.54E-01,1.76E-02,2.07E+01,4.10E+00,2.96E-01,1.70E+04,,,,172.3936636,132.8311278,0.19899845,0.079033488
2.26E+01,1.21E-01,7.78E+02,1.66E+00,8.26E-01,1.76E-02,2.04E+01,4.09E+00,2.94E-01,1.70E+04,,,,172.5924342,133.0298984,0.198914297,0.078949335
2.26E+01,1.21E-01,7.78E+02,1.68E+00,9.04E-01,1.76E-02,2.00E+01,4.08E+00,2.93E-01,1.70E+04,,,,172.7912048,133.228669,0.198830255,0.078865293
2.26E+01,1.21E-01,7.78E+02,1.70E+00,9.89E-01,1.77E-02,1.97E+01,4.06E+00,2.91E-01,1.70E+04,,,,172.9899753,133.4274396,0.198746322,0.07878136
